,milage,action,milage_bin,next_milage_bin
346,18,0,0,1
347,30,0,1,1
348,40,0,1,2
349,51,0,2,2
350,60,0,2,3
351,76,0,3,4
352,89,0,4,0
354,8,0,0,1
355,25,0,1,1
356,33,0,1,2
357,45,0,2,2
358,53,0,2,3
359,69,0,3,0
361,8,0,0,0
362,22,0,0,1
363,28,0,1,1
364,32,0,1,1
365,40,0,1,2
366,53,0,2,3
367,67,0,3,3
368,77,0,3,3
369,86,0,3,4
370,94,0,4,4
371,104,0,4,5
372,119,0,5,5
373,131,0,5,6
374,143,0,6,6
375,154,0,6,7
376,164,0,7,7
377,170,0,7,8
378,182,0,8,8
379,191,0,8,9
380,200,0,9,0
382,7,0,0,1
383,24,0,1,1
384,42,0,1,2
385,46,0,2,2
386,50,0,2,2
387,56,0,2,2
388,66,0,2,3
389,74,0,3,3
390,76,0,3,4
391,90,0,4,4
392,99,0,4,5
393,114,0,5,5
394,123,0,5,5
395,130,0,5,6
396,136,0,6,6
397,142,0,6,6
398,151,0,6,7
399,161,0,7,7
400,167,0,7,8
401,181,0,8,0
403,10,0,0,0
404,16,0,0,1
405,26,0,1,1
406,38,0,1,1
407,40,0,1,2
408,47,0,2,2
409,57,0,2,3
410,69,0,3,3
411,82,0,3,4
412,92,0,4,4
413,99,0,4,4
414,107,0,4,0
416,7,0,0,1
417,24,0,1,1
418,32,0,1,1
419,44,0,1,2
420,60,0,2,3
421,69,0,3,3
422,77,0,3,3
423,84,0,3,4
424,95,0,4,4
425,101,0,4,5
426,111,0,5,5
427,120,0,5,5
428,125,0,5,6
429,140,0,6,0
431,12,0,0,1
432,30,0,1,2
433,48,0,2,2
434,60,0,2,3
435,74,0,3,3
436,81,0,3,4
437,91,0,4,0
439,9,0,0,0
440,12,0,0,0
441,17,0,0,1
442,26,0,1,1
443,37,0,1,2
444,50,0,2,2
445,55,0,2,2
446,65,0,2,1
448,24,0,1,1
449,34,0,1,2
450,51,0,2,2
451,66,0,2,3
452,73,0,3,3
453,82,0,3,3
454,86,0,3,4
455,95,0,4,0
457,8,0,0,0
458,14,0,0,0
459,22,0,0,1
460,33,0,1,1
461,37,0,1,2
462,49,0,2,2
463,59,0,2,3
464,73,0,3,3
465,84,0,3,0
467,14,0,0,0
468,19,0,0,1
469,28,0,1,1
470,35,0,1,2
471,47,0,2,2
472,54,0,2,0
474,10,0,0,1
475,24,0,1,1
476,36,0,1,2
477,45,0,2,2
478,60,0,2,3
479,70,0,3,3
480,82,0,3,4
481,97,0,4,4
482,105,0,4,5
483,117,0,5,6
484,133,0,6,6
485,139,0,6,6
486,150,0,6,7
487,161,0,7,7
488,170,0,7,8
489,177,0,8,0
491,6,0,0,0
492,14,0,0,1
493,29,0,1,1
494,37,0,1,2
495,49,0,2,2
496,61,0,2,3
497,72,0,3,3
498,83,0,3,3
499,88,0,3,4
500,96,0,4,0
502,21,0,0,1
503,31,0,1,1
504,40,0,1,2
505,47,0,2,2
506,55,0,2,2
507,61,0,2,3
508,68,0,3,3
509,76,0,3,4
510,89,0,4,4
511,95,0,4,4
512,106,0,4,5
513,116,0,5,5
514,126,0,5,5
515,130,0,5,6
516,141,0,6,0
518,5,0,0,1
519,24,0,1,1
520,25,0,1,1
521,33,0,1,1
522,34,0,1,1
523,39,0,1,1
524,42,0,1,2
525,63,0,2,3
526,67,0,3,3
527,80,0,3,3
528,86,0,3,0
530,14,0,0,1
531,24,0,1,1
532,32,0,1,1
533,43,0,1,2
534,58,0,2,2
535,63,0,2,3
536,75,0,3,4
537,94,0,4,0
539,7,0,0,0
540,17,0,0,0
541,21,0,0,1
542,31,0,1,1
543,40,0,1,2
544,52,0,2,2
545,64,0,2,3
546,77,0,3,3
547,85,0,3,4
548,99,0,4,5
549,111,0,5,0
551,14,0,0,1
552,23,0,1,1
553,29,0,1,1
554,34,0,1,1
555,42,0,1,2
556,59,0,2,3
557,68,0,3,4
558,89,0,4,4
559,99,0,4,0
561,11,0,0,0
562,21,0,0,1
563,33,0,1,2
564,47,0,2,2
565,54,0,2,2
566,63,0,2,3
567,73,0,3,3
568,84,0,3,4
569,99,0,4,4
570,102,0,4,0
572,10,0,0,0
573,18,0,0,1
574,28,0,1,1
575,34,0,1,2
576,46,0,2,2
577,58,0,2,2
578,66,0,2,3
579,74,0,3,3
580,77,0,3,3
581,86,0,3,4
582,99,0,4,4
583,106,0,4,5
584,114,0,5,5
585,119,0,5,5
586,129,0,5,6
587,134,0,6,6
588,140,0,6,6
589,148,0,6,7
590,156,0,7,7
591,170,0,7,8
592,178,0,8,0
594,12,0,0,1
595,25,0,1,1
596,38,0,1,2
597,48,0,2,2
598,61,0,2,3
599,78,0,3,0
601,11,0,0,1
602,25,0,1,1
603,39,0,1,1
604,42,0,1,2
605,48,0,2,2
606,59,0,2,3
607,74,0,3,3
608,88,0,3,4
609,99,0,4,4
610,110,0,4,0
612,8,0,0,0
613,17,0,0,1
614,26,0,1,1
615,39,0,1,2
616,50,0,2,2
617,55,0,2,2
618,61,0,2,3
619,71,0,3,3
620,78,0,3,4
621,97,0,4,5
622,117,0,5,5
623,131,0,5,6
624,143,0,6,6
625,145,0,6,7
626,161,0,7,7
627,174,0,7,8
628,188,0,8,0
630,15,0,0,1
631,28,0,1,1
632,31,0,1,1
633,43,0,1,2
634,58,0,2,3
635,74,0,3,3
636,80,0,3,3
637,86,0,3,0
639,12,0,0,1
640,23,0,1,1
641,35,0,1,1
642,40,0,1,2
643,49,0,2,2
644,55,0,2,2
645,61,0,2,3
646,67,0,3,3
647,75,0,3,3
648,85,0,3,4
649,93,0,4,4
650,109,0,4,5
651,119,0,5,6
652,134,0,6,6
653,141,0,6,0
655,13,0,0,0
656,20,0,0,1
657,27,0,1,1
658,40,0,1,2
659,46,0,2,2
660,56,0,2,3
661,78,0,3,4
662,90,0,4,0
664,6,0,0,0
665,9,0,0,1
666,25,0,1,1
667,36,0,1,2
668,47,0,2,2
669,55,0,2,2
670,63,0,2,3
671,71,0,3,3
672,75,0,3,4
673,91,0,4,4
674,98,0,4,4
675,109,0,4,0
677,7,0,0,0
678,13,0,0,0
679,17,0,0,1
680,27,0,1,1
681,35,0,1,2
682,51,0,2,2
683,62,0,2,2
684,66,0,2,3
685,76,0,3,3
686,86,0,3,4
687,100,0,4,0
689,18,0,0,1
690,25,0,1,1
691,33,0,1,1
692,36,0,1,2
693,50,0,2,2
694,58,0,2,0
696,12,0,0,0
697,17,0,0,1
698,30,0,1,1
699,39,0,1,0
701,5,0,0,0
702,18,0,0,1
703,28,0,1,1
704,39,0,1,2
705,50,0,2,2
706,64,0,2,3
707,77,0,3,4
708,91,0,4,4
709,99,0,4,4
710,110,0,4,5
711,120,0,5,5
712,125,0,5,6
713,139,0,6,0
715,3,0,0,0
716,17,0,0,1
717,25,0,1,1
718,34,0,1,1
719,41,0,1,2
720,55,0,2,2
721,65,0,2,0
723,11,0,0,1
724,28,0,1,1
725,40,0,1,2
726,59,0,2,2
727,66,0,2,3
728,80,0,3,4
729,97,0,4,4
730,105,0,4,0
732,8,0,0,0
733,16,0,0,1
734,23,0,1,1
735,26,0,1,1
736,37,0,1,2
737,45,0,2,2
738,59,0,2,3
739,70,0,3,3
740,76,0,3,3
741,84,0,3,4
742,103,0,4,4
743,108,0,4,5
744,116,0,5,5
745,122,0,5,1
