,milage,action,milage_bin,next_milage_bin
1467,44,0,1,2
1468,58,0,2,3
1469,75,0,3,3
1470,79,0,3,3
1471,88,0,3,4
1472,95,0,4,4
1473,110,0,4,5
1474,129,0,5,6
1475,139,0,6,6
1476,146,0,6,6
1477,150,0,6,0
1479,9,0,0,0
1480,12,0,0,0
1481,21,0,0,1
1482,36,0,1,2
1483,46,0,2,2
1484,59,0,2,3
1485,71,0,3,3
1486,83,0,3,3
1487,88,0,3,4
1488,99,0,4,4
1489,102,0,4,5
1490,112,0,5,0
1492,8,0,0,0
1493,16,0,0,1
1494,24,0,1,1
1495,40,0,1,2
1496,56,0,2,3
1497,75,0,3,4
1498,93,0,4,4
1499,102,0,4,0
1501,7,0,0,0
1502,13,0,0,0
1503,20,0,0,1
1504,26,0,1,1
1505,40,0,1,2
1506,49,0,2,2
1507,60,0,2,3
1508,68,0,3,3
1509,79,0,3,4
1510,94,0,4,5
1511,117,0,5,5
1512,120,0,5,5
1513,131,0,5,6
1514,139,0,6,0
1516,19,0,0,1
1517,34,0,1,1
1518,41,0,1,2
1519,53,0,2,2
1520,60,0,2,2
1521,64,0,2,3
1522,78,0,3,3
1523,83,0,3,3
1524,88,0,3,4
1525,98,0,4,4
1526,106,0,4,0
1528,6,0,0,0
1529,14,0,0,1
1530,31,0,1,1
1531,41,0,1,2
1532,53,0,2,2
1533,55,0,2,2
1534,63,0,2,3
1535,70,0,3,3
1536,77,0,3,3
1537,81,0,3,3
1538,86,0,3,4
1539,95,0,4,4
1540,104,0,4,5
1541,111,0,5,5
1542,123,0,5,0
1544,12,0,0,1
1545,28,0,1,1
1546,37,0,1,2
1547,46,0,2,2
1548,57,0,2,3
1549,72,0,3,3
1550,81,0,3,4
1551,93,0,4,4
1552,106,0,4,0
1554,6,0,0,0
1555,7,0,0,0
1556,15,0,0,1
1557,28,0,1,1
1558,32,0,1,1
1559,38,0,1,2
1560,47,0,2,2
1561,58,0,2,2
1562,66,0,2,3
1563,75,0,3,4
1564,89,0,4,0
1566,12,0,0,0
1567,19,0,0,1
1568,30,0,1,1
1569,42,0,1,2
1570,50,0,2,2
1571,56,0,2,2
1572,57,0,2,2
1573,64,0,2,3
1574,74,0,3,3
1575,86,0,3,4
1576,93,0,4,4
1577,106,0,4,5
1578,116,0,5,5
1579,121,0,5,6
1580,138,0,6,6
1581,154,0,6,0
1583,7,0,0,0
1584,15,0,0,0
1585,21,0,0,1
1586,31,0,1,1
1587,38,0,1,2
1588,46,0,2,2
1589,54,0,2,2
1590,64,0,2,3
1591,69,0,3,3
1592,79,0,3,4
1593,90,0,4,4
1594,106,0,4,0
1596,16,0,0,1
1597,26,0,1,1
1598,38,0,1,2
1599,47,0,2,2
1600,65,0,2,3
1601,78,0,3,4
1602,91,0,4,4
1603,98,0,4,4
1604,108,0,4,5
1605,114,0,5,5
1606,122,0,5,0
1608,7,0,0,0
1609,22,0,0,1
1610,30,0,1,2
1611,46,0,2,2
1612,55,0,2,3
1613,67,0,3,3
1614,80,0,3,4
1615,89,0,4,4
1616,103,0,4,0
1618,13,0,0,0
1619,16,0,0,1
1620,25,0,1,1
1621,39,0,1,1
1622,44,0,1,2
1623,49,0,2,2
1624,55,0,2,3
1625,67,0,3,3
1626,76,0,3,4
1627,90,0,4,4
1628,95,0,4,4
1629,100,0,4,4
1630,109,0,4,5
1631,112,0,5,5
1632,115,0,5,0
1634,7,0,0,0
1635,16,0,0,1
1636,25,0,1,1
1637,37,0,1,1
1638,40,0,1,2
1639,47,0,2,2
1640,60,0,2,3
1641,69,0,3,3
1642,76,0,3,3
1643,83,0,3,4
1644,101,0,4,5
1645,112,0,5,5
1646,124,0,5,6
1647,133,0,6,6
1648,144,0,6,0
1650,10,0,0,0
1651,18,0,0,1
1652,28,0,1,1
1653,43,0,1,2
1654,49,0,2,2
1655,62,0,2,0
1657,18,0,0,1
1658,34,0,1,1
1659,41,0,1,2
1660,53,0,2,3
1661,70,0,3,3
1662,77,0,3,3
1663,81,0,3,3
1664,86,0,3,4
1665,101,0,4,0
1667,12,0,0,1
1668,25,0,1,1
1669,40,0,1,1
1670,44,0,1,2
1671,60,0,2,3
1672,70,0,3,3
1673,82,0,3,4
1674,89,0,4,4
1675,96,0,4,5
1676,113,0,5,5
1677,117,0,5,0
1679,12,0,0,1
1680,30,0,1,1
1681,43,0,1,2
1682,53,0,2,3
1683,74,0,3,3
1684,88,0,3,4
1685,102,0,4,4
1686,110,0,4,5
1687,117,0,5,5
1688,130,0,5,6
1689,141,0,6,0
1691,12,0,0,1
1692,25,0,1,1
1693,38,0,1,2
1694,49,0,2,2
1695,59,0,2,3
1696,69,0,3,3
1697,76,0,3,4
1698,89,0,4,0
1700,8,0,0,0
1701,13,0,0,1
1702,24,0,1,1
1703,27,0,1,1
1704,39,0,1,2
1705,51,0,2,2
1706,60,0,2,2
1707,63,0,2,3
1708,72,0,3,4
1709,91,0,4,0
1711,17,0,0,0
1712,20,0,0,1
1713,40,0,1,2
1714,53,0,2,2
1715,63,0,2,2
1716,66,0,2,3
1717,73,0,3,3
1718,87,0,3,4
1719,100,0,4,5
1720,111,0,5,5
1721,123,0,5,6
1722,136,0,6,0
1724,18,0,0,1
1725,29,0,1,1
1726,33,0,1,1
1727,44,0,1,2
1728,54,0,2,2
1729,58,0,2,3
1730,70,0,3,3
1731,86,0,3,0
1733,4,0,0,1
1734,25,0,1,1
1735,31,0,1,1
1736,41,0,1,2
1737,48,0,2,2
1738,58,0,2,3
1739,68,0,3,3
1740,77,0,3,3
1741,85,0,3,4
1742,95,0,4,0
1744,10,0,0,0
1745,16,0,0,1
1746,33,0,1,1
1747,35,0,1,1
1748,41,0,1,2
1749,48,0,2,2
1750,66,0,2,3
1751,74,0,3,3
1752,87,0,3,0
1754,5,0,0,0
1755,10,0,0,0
1756,14,0,0,0
1757,19,0,0,1
1758,27,0,1,1
1759,31,0,1,1
1760,36,0,1,2
1761,56,0,2,3
1762,71,0,3,0
1764,16,0,0,0
1765,22,0,0,1
1766,31,0,1,1
1767,34,0,1,1
1768,38,0,1,2
1769,59,0,2,3
1770,69,0,3,3
1771,84,0,3,4
1772,96,0,4,5
1773,113,0,5,5
1774,125,0,5,6
1775,135,0,6,0
1777,10,0,0,0
1778,18,0,0,1
1779,31,0,1,1
1780,37,0,1,2
1781,45,0,2,2
1782,58,0,2,3
1783,71,0,3,3
1784,83,0,3,4
1785,94,0,4,4
1786,110,0,4,5
1787,120,0,5,0
1789,12,0,0,1
1790,27,0,1,1
1791,35,0,1,1
1792,44,0,1,2
1793,52,0,2,2
1794,55,0,2,3
1795,70,0,3,3
1796,82,0,3,4
1797,93,0,4,4
1798,108,0,4,0
1800,6,0,0,0
1801,16,0,0,1
1802,26,0,1,1
1803,32,0,1,2
1804,52,0,2,3
1805,69,0,3,3
1806,78,0,3,0
1808,4,0,0,0
1809,11,0,0,0
1810,20,0,0,1
1811,30,0,1,1
1812,35,0,1,1
1813,42,0,1,2
1814,62,0,2,2
1815,66,0,2,3
1816,75,0,3,3
1817,85,0,3,4
1818,98,0,4,4
1819,106,0,4,5
1820,119,0,5,5
1821,129,0,5,0
1823,8,0,0,0
1824,15,0,0,1
1825,23,0,1,1
1826,30,0,1,1
1827,40,0,1,2
1828,47,0,2,2
1829,58,0,2,2
1830,66,0,2,3
1831,71,0,3,3
1832,78,0,3,3
1833,84,0,3,4
1834,91,0,4,4
1835,98,0,4,0
1837,9,0,0,0
1838,14,0,0,1
1839,26,0,1,1
1840,37,0,1,2
1841,45,0,2,2
1842,54,0,2,2
1843,64,0,2,3
1844,69,0,3,3
1845,84,0,3,4
1846,94,0,4,4
1847,100,0,4,5
1848,112,0,5,0
1850,13,0,0,1
1851,24,0,1,1
1852,30,0,1,1
1853,36,0,1,2
1854,57,0,2,2
1855,63,0,2,3
1856,75,0,3,3
1857,88,0,3,4
1858,98,0,4,4
1859,104,0,4,5
1860,115,0,5,5
1861,130,0,5,6
1862,143,0,6,0
1864,4,0,0,0
1865,8,0,0,0
1866,10,0,0,0
1867,18,0,0,1
1868,30,0,1,1
1869,37,0,1,1
1870,44,0,1,2
1871,54,0,2,3
1872,69,0,3,3
1873,73,0,3,3
1874,80,0,3,3
1875,88,0,3,4
1876,96,0,4,4
1877,109,0,4,5
1878,115,0,5,0
1880,6,0,0,0
1881,12,0,0,1
1882,25,0,1,1
1883,35,0,1,1
1884,41,0,1,2
1885,48,0,2,2
1886,51,0,2,2
1887,60,0,2,2
1888,64,0,2,3
1889,86,0,3,4
1890,99,0,4,4
1891,104,0,4,4
1892,109,0,4,5
1893,123,0,5,5
1894,127,0,5,0
1896,14,0,0,0
1897,19,0,0,1
1898,31,0,1,1
1899,42,0,1,2
1900,58,0,2,2
1901,62,0,2,3
1902,73,0,3,3
1903,78,0,3,4
1904,89,0,4,4
1905,99,0,4,5
1906,118,0,5,0
1908,11,0,0,0
1909,21,0,0,1
1910,37,0,1,2
1911,46,0,2,2
1912,58,0,2,2
1913,65,0,2,0
1915,7,0,0,0
1916,19,0,0,1
1917,33,0,1,1
1918,40,0,1,2
1919,50,0,2,2
1920,59,0,2,2
1921,65,0,2,3
1922,76,0,3,3
1923,85,0,3,4
1924,102,0,4,5
1925,111,0,5,5
1926,116,0,5,5
1927,122,0,5,0
1929,11,0,0,0
1930,18,0,0,1
1931,25,0,1,1
1932,42,0,1,2
1933,49,0,2,2
1934,54,0,2,2
1935,59,0,2,3
1936,75,0,3,3
1937,88,0,3,4
1938,102,0,4,0
1940,16,0,0,1
1941,23,0,1,1
1942,31,0,1,1
1943,35,0,1,1
1944,44,0,1,2
1945,52,0,2,2
1946,63,0,2,3
1947,68,0,3,0
1949,12,0,0,1
1950,29,0,1,1
1951,42,0,1,2
1952,50,0,2,2
1953,59,0,2,3
1954,76,0,3,3
1955,81,0,3,4
1956,101,0,4,5
1957,111,0,5,0
1959,10,0,0,0
1960,12,0,0,1
1961,26,0,1,1
1962,35,0,1,1
1963,40,0,1,2
1964,52,0,2,2
1965,59,0,2,2
1966,66,0,2,3
1967,78,0,3,3
1968,84,0,3,4
1969,89,0,4,4
1970,105,0,4,5
1971,120,0,5,5
1972,127,0,5,6
1973,137,0,6,6
1974,145,0,6,7
1975,162,0,7,8
1976,179,0,8,0
1978,7,0,0,0
1979,12,0,0,0
1980,17,0,0,1
1981,24,0,1,1
1982,35,0,1,1
1983,44,0,1,2
1984,51,0,2,2
1985,63,0,2,3
1986,69,0,3,0
1988,13,0,0,1
1989,25,0,1,1
1990,34,0,1,2
1991,46,0,2,2
1992,59,0,2,3
1993,71,0,3,3
1994,80,0,3,4
1995,97,0,4,4
1996,103,0,4,5
1997,112,0,5,5
1998,126,0,5,6
1999,142,0,6,6
2000,149,0,6,7
2001,158,0,7,0
2003,13,0,0,1
2004,24,0,1,1
2005,35,0,1,2
2006,46,0,2,2
2007,53,0,2,2
2008,61,0,2,3
2009,85,0,3,4
2010,90,0,4,4
2011,106,0,4,5
2012,120,0,5,5
2013,127,0,5,6
2014,139,0,6,0
2016,12,0,0,0
2017,18,0,0,1
2018,24,0,1,1
2019,36,0,1,1
2020,43,0,1,2
2021,48,0,2,2
2022,56,0,2,2
2023,65,0,2,3
2024,73,0,3,3
2025,85,0,3,4
2026,102,0,4,4
2027,106,0,4,0
2029,11,0,0,0
2030,20,0,0,1
2031,25,0,1,1
2032,36,0,1,2
2033,46,0,2,2
2034,55,0,2,3
2035,68,0,3,0
2037,17,0,0,1
2038,31,0,1,1
2039,40,0,1,2
2040,45,0,2,2
2041,54,0,2,2
2042,66,0,2,3
2043,76,0,3,3
2044,87,0,3,4
2045,100,0,4,5
2046,112,0,5,5
2047,116,0,5,0
2049,7,0,0,0
2050,14,0,0,0
2051,18,0,0,1
2052,23,0,1,1
2053,28,0,1,2
2054,45,0,2,2
2055,58,0,2,3
2056,68,0,3,3
2057,79,0,3,4
2058,99,0,4,5
2059,111,0,5,5
2060,115,0,5,0
2062,18,0,0,0
2063,21,0,0,1
2064,31,0,1,1
2065,38,0,1,2
2066,48,0,2,2
2067,62,0,2,3
2068,76,0,3,3
2069,83,0,3,0
2071,9,0,0,0
2072,21,0,0,1
2073,36,0,1,2
2074,46,0,2,2
2075,55,0,2,3
2076,71,0,3,3
2077,84,0,3,4
2078,89,0,4,4
2079,102,0,4,4
2080,110,0,4,5
2081,119,0,5,0
2083,6,0,0,0
2084,11,0,0,0
2085,18,0,0,1
2086,23,0,1,1
2087,31,0,1,1
2088,44,0,1,2
2089,51,0,2,2
2090,56,0,2,2
2091,60,0,2,2
2092,65,0,2,3
2093,80,0,3,4
2094,91,0,4,0
2096,8,0,0,0
2097,17,0,0,0
2098,20,0,0,1
2099,31,0,1,1
2100,43,0,1,2
2101,54,0,2,3
2102,75,0,3,4
2103,91,0,4,0
2105,12,0,0,0
2106,22,0,0,1
2107,25,0,1,1
2108,31,0,1,1
2109,37,0,1,2
2110,47,0,2,2
2111,55,0,2,3
2112,68,0,3,3
2113,79,0,3,3
2114,82,0,3,3
2115,87,0,3,4
2116,101,0,4,5
2117,113,0,5,5
2118,128,0,5,6
2119,137,0,6,6
2120,149,0,6,0
2122,11,0,0,0
2123,21,0,0,1
2124,32,0,1,1
2125,44,0,1,2
2126,49,0,2,2
2127,58,0,2,3
2128,72,0,3,3
2129,76,0,3,3
2130,87,0,3,4
2131,96,0,4,4
2132,101,0,4,4
2133,105,0,4,4
2134,108,0,4,5
2135,120,0,5,5
2136,130,0,5,6
2137,142,0,6,6
2138,150,0,6,7
2139,163,0,7,0
2141,15,0,0,1
2142,26,0,1,1
2143,38,0,1,2
2144,46,0,2,2
2145,65,0,2,0
2147,5,0,0,0
2148,13,0,0,1
2149,28,0,1,1
2150,37,0,1,2
2151,58,0,2,3
2152,71,0,3,3
2153,80,0,3,3
2154,85,0,3,4
2155,96,0,4,4
2156,106,0,4,5
2157,123,0,5,6
2158,133,0,6,6
2159,139,0,6,0
2161,4,0,0,0
2162,15,0,0,0
2163,21,0,0,1
2164,29,0,1,1
2165,44,0,1,2
2166,55,0,2,2
2167,62,0,2,3
2168,75,0,3,3
2169,87,0,3,4
2170,104,0,4,0
2172,9,0,0,0
2173,18,0,0,1
2174,26,0,1,1
2175,33,0,1,2
2176,45,0,2,2
2177,57,0,2,3
2178,70,0,3,3
2179,82,0,3,3
2180,85,0,3,4
2181,94,0,4,4
2182,100,0,4,4
2183,110,0,4,5
2184,115,0,5,0
2186,7,0,0,0
2187,17,0,0,1
2188,27,0,1,1
2189,36,0,1,1
2190,41,0,1,1
2191,44,0,1,2
2192,55,0,2,2
2193,65,0,2,3
2194,75,0,3,3
2195,81,0,3,0
2197,11,0,0,0
2198,19,0,0,1
2199,31,0,1,1
2200,36,0,1,2
2201,48,0,2,2
2202,54,0,2,2
2203,62,0,2,3
2204,74,0,3,4
2205,91,0,4,4
2206,96,0,4,4
2207,103,0,4,0
2209,8,0,0,0
2210,13,0,0,1
2211,24,0,1,1
2212,40,0,1,2
2213,51,0,2,2
2214,66,0,2,3
2215,76,0,3,4
2216,90,0,4,4
2217,96,0,4,4
2218,103,0,4,4
2219,108,0,4,5
2220,122,0,5,0
2222,12,0,0,1
2223,25,0,1,1
2224,32,0,1,1
2225,39,0,1,2
2226,46,0,2,2
2227,58,0,2,3
2228,68,0,3,3
2229,73,0,3,3
2230,83,0,3,4
2231,94,0,4,4
2232,104,0,4,5
2233,113,0,5,5
2234,124,0,5,5
2235,129,0,5,0
2237,15,0,0,1
2238,24,0,1,1
2239,35,0,1,2
2240,48,0,2,2
2241,55,0,2,2
2242,66,0,2,3
2243,76,0,3,3
2244,87,0,3,0
2246,10,0,0,0
2247,19,0,0,1
2248,24,0,1,1
2249,32,0,1,2
2250,47,0,2,2
2251,55,0,2,3
2252,73,0,3,3
2253,85,0,3,4
2254,90,0,4,4
2255,103,0,4,5
2256,114,0,5,5
2257,123,0,5,6
2258,133,0,6,6
2259,141,0,6,6
2260,154,0,6,0
2262,11,0,0,0
2263,20,0,0,1
2264,29,0,1,1
2265,37,0,1,2
2266,50,0,2,2
2267,66,0,2,3
2268,80,0,3,4
2269,89,0,4,4
2270,95,0,4,4
2271,102,0,4,4
2272,110,0,4,0
2274,12,0,0,0
2275,17,0,0,1
2276,23,0,1,1
2277,32,0,1,1
2278,40,0,1,2
2279,48,0,2,2
2280,57,0,2,3
2281,69,0,3,3
2282,83,0,3,4
2283,92,0,4,4
2284,102,0,4,5
2285,112,0,5,5
2286,120,0,5,5
2287,129,0,5,6
2288,143,0,6,7
2289,158,0,7,7
2290,171,0,7,8
2291,178,0,8,0
2293,10,0,0,1
2294,25,0,1,1
2295,41,0,1,2
2296,49,0,2,2
2297,55,0,2,2
2298,59,0,2,3
2299,74,0,3,3
2300,84,0,3,4
2301,92,0,4,0
2303,6,0,0,0
2304,22,0,0,1
2305,32,0,1,1
2306,40,0,1,2
2307,62,0,2,3
2308,69,0,3,3
2309,77,0,3,3
2310,84,0,3,4
2311,96,0,4,4
2312,106,0,4,5
2313,121,0,5,5
2314,128,0,5,0
2316,11,0,0,0
2317,20,0,0,1
2318,25,0,1,1
2319,38,0,1,2
2320,46,0,2,2
2321,60,0,2,3
2322,71,0,3,4
2323,89,0,4,4
2324,100,0,4,5
2325,114,0,5,5
2326,131,0,5,0
2328,9,0,0,0
2329,11,0,0,0
2330,18,0,0,1
2331,32,0,1,1
2332,43,0,1,2
2333,53,0,2,2
2334,56,0,2,3
2335,74,0,3,3
2336,81,0,3,3
2337,84,0,3,4
2338,90,0,4,0
2340,12,0,0,1
2341,25,0,1,1
2342,36,0,1,2
2343,46,0,2,2
2344,59,0,2,2
2345,66,0,2,3
2346,74,0,3,3
2347,81,0,3,3
2348,88,0,3,4
2349,100,0,4,5
2350,119,0,5,5
2351,122,0,5,6
2352,135,0,6,0
2354,6,0,0,0
2355,22,0,0,1
2356,26,0,1,1
2357,35,0,1,1
2358,44,0,1,2
2359,50,0,2,2
2360,56,0,2,2
2361,66,0,2,3
2362,74,0,3,3
2363,83,0,3,3
2364,88,0,3,0
2366,13,0,0,0
2367,19,0,0,1
2368,33,0,1,2
2369,46,0,2,2
2370,56,0,2,2
2371,64,0,2,3
2372,73,0,3,3
2373,80,0,3,4
2374,92,0,4,4
2375,101,0,4,4
2376,105,0,4,0
2378,6,0,0,0
2379,14,0,0,1
2380,28,0,1,1
2381,39,0,1,2
2382,45,0,2,2
2383,54,0,2,3
2384,71,0,3,3
2385,87,0,3,4
2386,91,0,4,0
2388,7,0,0,0
2389,16,0,0,1
2390,36,0,1,1
2391,44,0,1,2
2392,58,0,2,3
2393,78,0,3,3
2394,81,0,3,4
2395,91,0,4,4
2396,104,0,4,5
2397,121,0,5,5
2398,123,0,5,6
2399,136,0,6,6
2400,153,0,6,7
2401,168,0,7,7
2402,176,0,7,0
2404,7,0,0,0
2405,19,0,0,1
2406,25,0,1,1
2407,31,0,1,1
2408,39,0,1,2
2409,47,0,2,2
2410,59,0,2,3
2411,74,0,3,3
2412,82,0,3,4
2413,90,0,4,4
2414,94,0,4,4
2415,100,0,4,5
2416,114,0,5,0
2418,18,0,0,1
2419,26,0,1,1
2420,42,0,1,2
2421,53,0,2,2
2422,56,0,2,2
2423,64,0,2,3
2424,68,0,3,3
2425,80,0,3,4
2426,97,0,4,5
2427,111,0,5,5
2428,126,0,5,0
2430,8,0,0,0
2431,13,0,0,1
2432,33,0,1,1
2433,38,0,1,2
2434,48,0,2,2
2435,63,0,2,3
2436,70,0,3,3
2437,77,0,3,4
2438,93,0,4,0
2440,12,0,0,0
2441,21,0,0,1
2442,36,0,1,1
2443,36,0,1,2
2444,46,0,2,2
2445,58,0,2,3
2446,74,0,3,3
2447,83,0,3,4
2448,97,0,4,5
2449,114,0,5,5
2450,124,0,5,5
2451,130,0,5,0
2453,16,0,0,0
2454,22,0,0,1
2455,34,0,1,2
2456,45,0,2,2
2457,54,0,2,3
2458,67,0,3,3
2459,77,0,3,3
2460,85,0,3,4
2461,99,0,4,5
2462,111,0,5,0
2464,14,0,0,0
2465,22,0,0,1
2466,37,0,1,2
2467,51,0,2,2
2468,58,0,2,0
2470,6,0,0,0
2471,17,0,0,1
2472,28,0,1,2
2473,49,0,2,2
2474,56,0,2,2
2475,65,0,2,3
2476,77,0,3,4
2477,94,0,4,4
2478,105,0,4,5
2479,114,0,5,5
2480,119,0,5,5
2481,130,0,5,0
2483,18,0,0,1
2484,26,0,1,1
2485,34,0,1,1
2486,39,0,1,2
2487,46,0,2,2
2488,64,0,2,3
2489,78,0,3,3
2490,86,0,3,4
2491,95,0,4,4
2492,108,0,4,5
2493,117,0,5,5
2494,123,0,5,6
2495,137,0,6,6
2496,144,0,6,0
2498,14,0,0,0
2499,20,0,0,1
2500,30,0,1,1
2501,33,0,1,1
2502,37,0,1,2
2503,51,0,2,2
2504,58,0,2,3
2505,71,0,3,3
2506,79,0,3,4
2507,89,0,4,4
2508,95,0,4,5
2509,115,0,5,5
2510,121,0,5,5
2511,129,0,5,6
2512,136,0,6,0
2514,13,0,0,0
2515,21,0,0,1
2516,30,0,1,1
2517,43,0,1,2
2518,54,0,2,3
2519,75,0,3,3
2520,88,0,3,4
2521,99,0,4,0
2523,8,0,0,0
2524,15,0,0,0
2525,18,0,0,1
2526,36,0,1,1
2527,42,0,1,2
2528,45,0,2,0
2530,17,0,0,1
2531,25,0,1,1
2532,34,0,1,1
2533,42,0,1,2
2534,47,0,2,2
2535,59,0,2,3
2536,67,0,3,3
2537,80,0,3,3
2538,88,0,3,0
2540,5,0,0,0
2541,10,0,0,0
2542,16,0,0,0
2543,21,0,0,1
2544,33,0,1,1
2545,36,0,1,2
2546,45,0,2,2
2547,63,0,2,3
2548,70,0,3,3
2549,79,0,3,4
2550,91,0,4,4
2551,98,0,4,4
2552,103,0,4,5
2553,120,0,5,5
2554,131,0,5,6
2555,140,0,6,0
2557,9,0,0,1
2558,23,0,1,1
2559,26,0,1,1
2560,42,0,1,2
2561,51,0,2,2
2562,61,0,2,3
2563,69,0,3,0
2565,12,0,0,0
2566,17,0,0,1
2567,29,0,1,1
2568,39,0,1,2
2569,48,0,2,2
2570,62,0,2,3
2571,69,0,3,3
2572,78,0,3,3
2573,87,0,3,4
2574,101,0,4,5
2575,114,0,5,5
2576,121,0,5,0
2578,2,0,0,0
2579,16,0,0,1
2580,25,0,1,1
2581,35,0,1,2
2582,46,0,2,3
2583,71,0,3,3
2584,80,0,3,4
2585,101,0,4,5
2586,115,0,5,5
2587,130,0,5,6
2588,133,0,6,6
2589,144,0,6,7
2590,155,0,7,0
2592,7,0,0,0
2593,16,0,0,0
2594,18,0,0,1
2595,29,0,1,1
2596,33,0,1,1
2597,39,0,1,1
2598,41,0,1,2
2599,51,0,2,2
2600,61,0,2,3
2601,73,0,3,3
2602,85,0,3,0
2604,7,0,0,0
2605,16,0,0,0
2606,21,0,0,1
2607,30,0,1,2
2608,45,0,2,2
2609,49,0,2,2
2610,58,0,2,2
2611,64,0,2,3
2612,73,0,3,3
2613,86,0,3,4
2614,95,0,4,0
2616,6,0,0,1
2617,27,0,1,1
2618,38,0,1,2
2619,53,0,2,2
2620,61,0,2,3
2621,73,0,3,3
2622,83,0,3,4
2623,92,0,4,4
2624,98,0,4,0
2626,10,0,0,0
2627,22,0,0,1
2628,27,0,1,1
2629,35,0,1,1
2630,42,0,1,2
2631,54,0,2,2
2632,61,0,2,0
2634,5,0,0,0
2635,14,0,0,1
2636,26,0,1,1
2637,32,0,1,2
2638,49,0,2,2
2639,55,0,2,2
2640,63,0,2,3
2641,85,0,3,4
2642,97,0,4,5
2643,115,0,5,0
2645,6,0,0,0
2646,14,0,0,1
2647,24,0,1,1
2648,36,0,1,1
2649,41,0,1,2
2650,47,0,2,2
2651,59,0,2,3
2652,70,0,3,3
2653,73,0,3,3
2654,86,0,3,4
2655,92,0,4,4
2656,103,0,4,5
2657,121,0,5,0
2659,12,0,0,1
2660,23,0,1,1
2661,34,0,1,1
2662,43,0,1,2
2663,51,0,2,2
2664,59,0,2,2
2665,65,0,2,3
2666,72,0,3,3
2667,78,0,3,3
2668,88,0,3,4
2669,106,0,4,4
2670,110,0,4,0
2672,6,0,0,0
2673,12,0,0,0
2674,18,0,0,1
2675,26,0,1,1
2676,33,0,1,1
2677,42,0,1,2
2678,55,0,2,2
2679,61,0,2,3
2680,69,0,3,3
2681,75,0,3,0
2683,10,0,0,1
2684,24,0,1,1
2685,37,0,1,2
2686,46,0,2,2
2687,55,0,2,0
2689,3,0,0,0
2690,15,0,0,1
2691,25,0,1,1
2692,33,0,1,1
2693,42,0,1,2
2694,53,0,2,2
2695,57,0,2,2
2696,62,0,2,3
2697,76,0,3,3
2698,86,0,3,4
2699,97,0,4,0
2701,2,0,0,0
2702,21,0,0,1
2703,27,0,1,1
2704,33,0,1,1
2705,40,0,1,2
2706,45,0,2,2
2707,47,0,2,2
2708,56,0,2,3
2709,69,0,3,3
2710,74,0,3,3
2711,85,0,3,4
2712,91,0,4,4
2713,99,0,4,0
2715,10,0,0,0
2716,13,0,0,1
2717,25,0,1,1
2718,35,0,1,2
2719,52,0,2,2
2720,59,0,2,3
2721,71,0,3,3
2722,77,0,3,4
2723,91,0,4,4
2724,100,0,4,0
2726,10,0,0,0
2727,19,0,0,0
2728,22,0,0,1
2729,34,0,1,1
2730,41,0,1,1
2731,44,0,1,2
2732,61,0,2,3
2733,68,0,3,3
2734,86,0,3,4
2735,93,0,4,0
2737,3,0,0,0
2738,8,0,0,0
2739,17,0,0,1
2740,24,0,1,1
2741,30,0,1,1
2742,39,0,1,2
2743,46,0,2,2
2744,58,0,2,3
2745,67,0,3,3
2746,78,0,3,3
2747,81,0,3,4
2748,93,0,4,0
2750,8,0,0,0
2751,13,0,0,0
2752,22,0,0,1
2753,32,0,1,2
2754,45,0,2,2
2755,58,0,2,2
2756,64,0,2,0
2758,11,0,0,0
2759,22,0,0,1
2760,29,0,1,1
2761,38,0,1,1
2762,44,0,1,2
2763,54,0,2,2
2764,63,0,2,3
2765,72,0,3,3
2766,83,0,3,4
2767,95,0,4,4
2768,99,0,4,5
2769,112,0,5,5
2770,118,0,5,5
2771,128,0,5,0
2773,7,0,0,0
2774,16,0,0,1
2775,31,0,1,1
2776,43,0,1,2
2777,55,0,2,2
2778,63,0,2,3
2779,71,0,3,4
2780,93,0,4,4
2781,109,0,4,5
2782,117,0,5,6
2783,133,0,6,6
2784,151,0,6,0
2786,7,0,0,0
2787,16,0,0,0
2788,19,0,0,1
2789,31,0,1,2
2790,48,0,2,2
2791,56,0,2,3
2792,67,0,3,3
2793,76,0,3,3
2794,83,0,3,3
2795,88,0,3,0
2797,12,0,0,0
2798,17,0,0,1
2799,31,0,1,1
2800,36,0,1,1
2801,41,0,1,1
2802,43,0,1,2
2803,56,0,2,3
2804,82,0,3,3
2805,88,0,3,4
2806,94,0,4,4
2807,103,0,4,5
2808,116,0,5,0
2810,4,0,0,0
2811,11,0,0,0
2812,22,0,0,0
2813,22,0,0,1
2814,29,0,1,1
2815,39,0,1,2
2816,45,0,2,2
2817,59,0,2,3
2818,68,0,3,3
2819,80,0,3,4
2820,91,0,4,4
2821,96,0,4,4
2822,106,0,4,0
2824,7,0,0,0
2825,13,0,0,0
2826,18,0,0,1
2827,23,0,1,1
2828,43,0,1,2
2829,66,0,2,3
2830,78,0,3,4
2831,89,0,4,4
2832,101,0,4,5
2833,113,0,5,5
2834,132,0,5,0
2836,13,0,0,1
2837,23,0,1,1
2838,31,0,1,2
2839,52,0,2,2
2840,57,0,2,2
2841,66,0,2,3
2842,77,0,3,0
2844,6,0,0,0
2845,19,0,0,1
2846,39,0,1,2
2847,46,0,2,2
2848,62,0,2,3
2849,74,0,3,3
2850,83,0,3,0
